trip_id,route_id,vehicle_id,scheduled_time,actual_time,delay_minutes,time_of_day
T0028,R001,V013,2026-06-09 20:30:00,2026-06-09 20:33:00,3,Night
T0029,R005,V014,2026-06-23 20:40:00,2026-06-23 20:46:00,6,Night
T0030,R004,V010,2026-06-07 20:40:00,2026-06-07 20:41:00,1,Night
T0031,R001,V025,2026-06-11 07:40:00,2026-06-11 07:40:00,0,Morning Peak
T0032,R003,V002,2026-06-17 07:10:00,2026-06-17 07:22:00,12,Morning Peak
T0033,R002,V021,2026-06-03 17:10:00,2026-06-03 17:10:00,0,Evening Peak
T0034,R004,V020,2026-06-20 06:00:00,2026-06-20 06:12:00,12,Morning Peak
T0035,R007,V023,2026-06-19 16:20:00,2026-06-19 16:28:00,8,Evening Peak
T0036,R006,V008,2026-06-09 11:50:00,2026-06-09 11:54:00,4,Midday
T0037,R005,V015,2026-06-11 20:00:00,2026-06-11 20:14:00,14,Night
T0038,R002,V003,2026-06-18 08:20:00,2026-06-18 08:30:00,10,Morning Peak
T0039,R003,V012,2026-06-29 07:10:00,2026-06-29 07:21:00,11,Morning Peak
T0040,R005,V021,2026-06-26 16:00:00,2026-06-26 16:10:00,10,Evening Peak
T0041,R005,V023,2026-06-04 20:10:00,2026-06-04 20:21:00,11,Night
T0042,R003,V009,2026-06-10 16:50:00,2026-06-10 17:08:00,18,Evening Peak
T0043,R006,V007,2026-06-22 16:20:00,2026-06-22 16:24:00,4,Evening Peak
T0044,R001,V003,2026-06-21 13:20:00,2026-06-21 13:27:00,7,Midday
T0045,R001,V001,2026-06-11 17:50:00,2026-06-11 18:00:00,10,Evening Peak
T0046,R008,V018,2026-06-23 13:00:00,2026-06-23 13:09:00,9,Midday
T0047,R002,V003,2026-06-29 17:10:00,2026-06-29 17:13:00,3,Evening Peak
T0048,R003,V014,2026-06-05 06:20:00,2026-06-05 06:28:00,8,Morning Peak
T0049,R001,V012,2026-06-07 17:50:00,2026-06-07 18:03:00,13,Evening Peak
T0050,R007,V021,2026-06-24 08:10:00,2026-06-24 08:16:00,6,Morning Peak
T0051,R003,V027,2026-06-26 08:30:00,2026-06-26 08:50:00,20,Morning Peak
T0052,R006,V027,2026-06-30 11:50:00,2026-06-30 12:00:00,10,Midday
T0053,R004,V009,2026-06-06 17:00:00,2026-06-06 17:03:00,3,Evening Peak
T0054,R008,V008,2026-06-07 18:30:00,2026-06-07 18:37:00,7,Evening Peak
T0055,R006,V010,2026-06-27 17:10:00,2026-06-27 17:18:00,8,Evening Peak
T0056,R007,V011,2026-06-09 18:20:00,2026-06-09 18:29:00,9,Evening Peak
T0057,R006,V022,2026-06-17 11:40:00,2026-06-17 11:46:00,6,Midday
T0058,R005,V006,2026-06-19 20:20:00,2026-06-19 20:29:00,9,Night
T0059,R001,V004,2026-06-20 13:50:00,2026-06-20 13:59:00,9,Midday
T0060,R002,V013,2026-06-29 16:20:00,2026-06-29 16:23:00,3,Evening Peak
T0061,R001,V024,2026-06-14 06:40:00,2026-06-14 06:40:00,0,Morning Peak
T0062,R004,V012,2026-06-14 07:50:00,2026-06-14 07:50:00,0,Morning Peak
T0063,R006,V021,2026-06-11 17:00:00,2026-06-11 17:04:00,4,Evening Peak
T0064,R005,V023,2026-06-14 09:50:00,2026-06-14 09:58:00,8,Morning Peak
T0065,R005,V018,2026-06-05 08:50:00,2026-06-05 09:07:00,17,Morning Peak
T0066,R003,V021,2026-06-19 09:40:00,2026-06-19 09:47:00,7,Morning Peak
T0067,R001,V010,2026-06-10 08:40:00,2026-06-10 08:43:00,3,Morning Peak
T0068,R008,V015,2026-06-22 08:30:00,2026-06-22 08:34:00,4,Morning Peak
T0069,R003,V023,2026-06-03 09:50:00,2026-06-03 10:00:00,10,Morning Peak
T0070,R004,V023,2026-06-10 08:10:00,2026-06-10 08:14:00,4,Morning Peak
T0071,R003,V001,2026-06-02 08:30:00,2026-06-02 08:37:00,7,Morning Peak
T0072,R008,V014,2026-06-29 16:10:00,2026-06-29 16:12:00,2,Evening Peak
T0073,R007,V016,2026-06-13 08:50:00,2026-06-13 08:52:00,2,Morning Peak
T0074,R002,V026,2026-06-14 08:50:00,2026-06-14 08:50:00,0,Morning Peak
T0075,R008,V002,2026-06-18 08:00:00,2026-06-18 08:00:00,0,Morning Peak
T0076,R006,V026,2026-06-29 13:50:00,2026-06-29 13:57:00,7,Midday
T0077,R007,V028,2026-06-30 16:10:00,2026-06-30 16:12:00,2,Evening Peak
T0078,R005,V026,2026-06-08 18:20:00,2026-06-08 18:23:00,3,Evening Peak
T0079,R008,V022,2026-06-08 09:00:00,2026-06-08 09:07:00,7,Morning Peak
T0080,R006,V011,2026-06-29 15:10:00,2026-06-29 15:13:00,3,Midday
T0081,R003,V008,2026-06-13 17:50:00,2026-06-13 18:00:00,10,Evening Peak
T0082,R006,V018,2026-06-15 11:10:00,2026-06-15 11:23:00,13,Midday
T0083,R007,V013,2026-06-29 17:50:00,2026-06-29 18:00:00,10,Evening Peak
T0084,R007,V016,2026-06-01 20:20:00,2026-06-01 20:27:00,7,Night
T0085,R007,V030,2026-06-29 20:30:00,2026-06-29 20:30:00,0,Night
T0086,R004,V016,2026-06-08 09:30:00,2026-06-08 09:35:00,5,Morning Peak
T0087,R001,V013,2026-06-11 17:30:00,2026-06-11 17:33:00,3,Evening Peak
T0088,R003,V021,2026-06-18 06:30:00,2026-06-18 06:31:00,1,Morning Peak
T0089,R001,V003,2026-06-21 13:30:00,2026-06-21 13:38:00,8,Midday
T0090,R006,V007,2026-06-15 09:30:00,2026-06-15 09:40:00,10,Morning Peak
T0091,R005,V026,2026-06-27 11:00:00,2026-06-27 11:01:00,1,Midday
T0092,R001,V012,2026-06-08 16:50:00,2026-06-08 16:58:00,8,Evening Peak
T0093,R001,V026,2026-06-01 20:10:00,2026-06-01 20:17:00,7,Night
T0094,R004,V005,2026-06-16 17:40:00,2026-06-16 17:43:00,3,Evening Peak
T0095,R004,V015,2026-06-23 08:20:00,2026-06-23 08:26:00,6,Morning Peak
T0096,R002,V026,2026-06-27 08:20:00,2026-06-27 08:32:00,12,Morning Peak
T0097,R002,V020,2026-06-01 20:40:00,2026-06-01 20:46:00,6,Night
T0098,R007,V024,2026-06-07 07:50:00,2026-06-07 07:50:00,0,Morning Peak
T0099,R004,V004,2026-06-23 17:50:00,2026-06-23 17:55:00,5,Evening Peak
T0100,R001,V012,2026-06-18 13:20:00,2026-06-18 13:26:00,6,Midday
T0101,R002,V017,2026-06-21 09:30:00,2026-06-21 09:38:00,8,Morning Peak
T0102,R006,V022,2026-06-29 18:50:00,2026-06-29 18:55:00,5,Evening Peak
T0103,R003,V014,2026-06-06 17:50:00,2026-06-06 17:59:00,9,Evening Peak
T0104,R008,V015,2026-06-14 18:40:00,2026-06-14 18:53:00,13,Evening Peak
T0105,R005,V011,2026-06-28 08:00:00,2026-06-28 08:08:00,8,Morning Peak
T0106,R008,V020,2026-06-20 17:20:00,2026-06-20 17:33:00,13,Evening Peak
T0107,R001,V016,2026-06-28 09:30:00,2026-06-28 09:39:00,9,Morning Peak
T0108,R006,V009,2026-06-29 16:20:00,2026-06-29 16:33:00,13,Evening Peak
T0109,R001,V017,2026-06-07 07:50:00,2026-06-07 07:50:00,0,Morning Peak
T0110,R004,V024,2026-06-16 16:30:00,2026-06-16 16:36:00,6,Evening Peak
T0111,R008,V027,2026-06-01 07:10:00,2026-06-01 07:18:00,8,Morning Peak
T0112,R006,V016,2026-06-18 15:30:00,2026-06-18 15:40:00,10,Midday
T0113,R006,V012,2026-06-23 13:20:00,2026-06-23 13:28:00,8,Midday
T0114,R004,V011,2026-06-04 17:50:00,2026-06-04 17:56:00,6,Evening Peak
T0115,R003,V007,2026-06-07 17:20:00,2026-06-07 17:29:00,9,Evening Peak
T0116,R005,V004,2026-06-27 08:10:00,2026-06-27 08:11:00,1,Morning Peak
T0117,R006,V006,2026-06-10 06:40:00,2026-06-10 06:46:00,6,Morning Peak
T0118,R001,V018,2026-06-10 17:10:00,2026-06-10 17:18:00,8,Evening Peak
T0119,R008,V004,2026-06-28 06:20:00,2026-06-28 06:25:00,5,Morning Peak
T0120,R003,V002,2026-06-09 20:30:00,2026-06-09 20:41:00,11,Night
T0121,R002,V028,2026-06-03 11:00:00,2026-06-03 11:02:00,2,Midday
T0122,R003,V005,2026-06-26 16:20:00,2026-06-26 16:31:00,11,Evening Peak
T0123,R002,V008,2026-06-04 16:30:00,2026-06-04 16:31:00,1,Evening Peak
T0124,R004,V026,2026-06-17 11:30:00,2026-06-17 11:30:00,0,Midday
T0125,R005,V030,2026-06-19 22:20:00,2026-06-19 22:27:00,7,Night
T0126,R002,V026,2026-06-07 16:20:00,2026-06-07 16:26:00,6,Evening Peak
T0127,R002,V006,2026-06-08 08:00:00,2026-06-08 08:09:00,9,Morning Peak
T0128,R008,V010,2026-06-02 08:50:00,2026-06-02 09:02:00,12,Morning Peak
T0129,R005,V024,2026-06-28 13:50:00,2026-06-28 13:58:00,8,Midday
T0130,R004,V014,2026-06-04 16:50:00,2026-06-04 16:57:00,7,Evening Peak
T0131,R003,V009,2026-06-27 08:00:00,2026-06-27 08:12:00,12,Morning Peak
T0132,R005,V015,2026-06-04 13:20:00,2026-06-04 13:31:00,11,Midday
T0133,R007,V009,2026-06-17 15:30:00,2026-06-17 15:34:00,4,Midday
T0134,R007,V025,2026-06-11 16:00:00,2026-06-11 16:03:00,3,Evening Peak
T0135,R002,V008,2026-06-22 18:40:00,2026-06-22 18:46:00,6,Evening Peak
T0136,R005,V020,2026-06-02 17:10:00,2026-06-02 17:21:00,11,Evening Peak
T0137,R008,V017,2026-06-21 13:20:00,2026-06-21 13:28:00,8,Midday
T0138,R008,V003,2026-06-16 09:20:00,2026-06-16 09:34:00,14,Morning Peak
T0139,R006,V023,2026-06-04 18:20:00,2026-06-04 18:25:00,5,Evening Peak
T0140,R007,V028,2026-06-25 16:30:00,2026-06-25 16:34:00,4,Evening Peak
T0141,R002,V011,2026-06-09 09:30:00,2026-06-09 09:43:00,13,Morning Peak
T0142,R001,V023,2026-06-28 15:30:00,2026-06-28 15:32:00,2,Midday
T0143,R001,V007,2026-06-17 09:30:00,2026-06-17 09:31:00,1,Morning Peak
T0144,R004,V009,2026-06-18 07:20:00,2026-06-18 07:20:00,0,Morning Peak
T0145,R008,V024,2026-06-16 07:50:00,2026-06-16 07:54:00,4,Morning Peak
T0146,R003,V010,2026-06-18 06:30:00,2026-06-18 06:39:00,9,Morning Peak
T0147,R002,V008,2026-06-27 18:30:00,2026-06-27 18:42:00,12,Evening Peak
T0148,R003,V016,2026-06-30 17:40:00,2026-06-30 17:51:00,11,Evening Peak
T0149,R005,V014,2026-06-27 15:30:00,2026-06-27 15:39:00,9,Midday
T0150,R007,V007,2026-06-30 16:50:00,2026-06-30 16:59:00,9,Evening Peak
T0151,R003,V030,2026-06-03 09:30:00,2026-06-03 09:35:00,5,Morning Peak
T0152,R005,V028,2026-06-01 09:20:00,2026-06-01 09:34:00,14,Morning Peak
T0153,R008,V030,2026-06-05 13:30:00,2026-06-05 13:33:00,3,Midday
T0154,R007,V015,2026-06-30 09:10:00,2026-06-30 09:16:00,6,Morning Peak
T0155,R004,V020,2026-06-13 08:30:00,2026-06-13 08:43:00,13,Morning Peak
T0156,R007,V013,2026-06-22 17:50:00,2026-06-22 17:54:00,4,Evening Peak
T0157,R003,V016,2026-06-02 07:40:00,2026-06-02 07:52:00,12,Morning Peak
T0158,R008,V004,2026-06-17 18:00:00,2026-06-17 18:11:00,11,Evening Peak
T0159,R003,V014,2026-06-28 16:10:00,2026-06-28 16:26:00,16,Evening Peak
T0160,R005,V011,2026-06-20 17:50:00,2026-06-20 18:02:00,12,Evening Peak
T0161,R002,V030,2026-06-11 18:40:00,2026-06-11 18:44:00,4,Evening Peak
T0162,R008,V030,2026-06-18 06:00:00,2026-06-18 06:08:00,8,Morning Peak
T0163,R004,V022,2026-06-22 18:10:00,2026-06-22 18:15:00,5,Evening Peak
T0164,R002,V026,2026-06-21 17:00:00,2026-06-21 17:03:00,3,Evening Peak
T0165,R008,V006,2026-06-23 09:00:00,2026-06-23 09:13:00,13,Morning Peak
T0166,R005,V012,2026-06-12 13:10:00,2026-06-12 13:23:00,13,Midday
T0167,R007,V020,2026-06-22 17:10:00,2026-06-22 17:18:00,8,Evening Peak
T0168,R007,V021,2026-06-22 08:40:00,2026-06-22 08:47:00,7,Morning Peak
T0169,R003,V008,2026-06-15 16:30:00,2026-06-15 16:39:00,9,Evening Peak
T0170,R008,V010,2026-06-22 16:00:00,2026-06-22 16:09:00,9,Evening Peak
T0171,R008,V012,2026-06-19 09:30:00,2026-06-19 09:38:00,8,Morning Peak
T0172,R005,V007,2026-06-13 18:00:00,2026-06-13 18:06:00,6,Evening Peak
T0173,R004,V013,2026-06-19 09:20:00,2026-06-19 09:26:00,6,Morning Peak
T0174,R007,V009,2026-06-01 16:50:00,2026-06-01 16:53:00,3,Evening Peak
T0175,R001,V021,2026-06-24 15:20:00,2026-06-24 15:24:00,4,Midday
T0176,R006,V008,2026-06-21 08:20:00,2026-06-21 08:22:00,2,Morning Peak
T0177,R003,V022,2026-06-04 18:50:00,2026-06-04 19:08:00,18,Evening Peak
T0178,R001,V020,2026-06-12 17:00:00,2026-06-12 17:09:00,9,Evening Peak
T0179,R005,V011,2026-06-24 11:10:00,2026-06-24 11:22:00,12,Midday
T0180,R006,V017,2026-06-17 18:10:00,2026-06-17 18:19:00,9,Evening Peak
T0181,R005,V028,2026-06-16 20:20:00,2026-06-16 20:28:00,8,Night
T0182,R002,V015,2026-06-03 08:10:00,2026-06-03 08:13:00,3,Morning Peak
T0183,R007,V030,2026-06-26 16:00:00,2026-06-26 16:02:00,2,Evening Peak
T0184,R002,V015,2026-06-12 17:50:00,2026-06-12 17:56:00,6,Evening Peak
T0185,R005,V020,2026-06-13 18:20:00,2026-06-13 18:33:00,13,Evening Peak
T0186,R001,V021,2026-06-29 20:20:00,2026-06-29 20:26:00,6,Night
T0187,R004,V022,2026-06-03 16:30:00,2026-06-03 16:38:00,8,Evening Peak
T0188,R007,V004,2026-06-05 07:00:00,2026-06-05 07:04:00,4,Morning Peak
T0189,R005,V016,2026-06-04 07:40:00,2026-06-04 07:54:00,14,Morning Peak
T0190,R007,V020,2026-06-24 17:30:00,2026-06-24 17:38:00,8,Evening Peak
T0191,R002,V028,2026-06-16 16:20:00,2026-06-16 16:31:00,11,Evening Peak
T0192,R008,V015,2026-06-08 18:00:00,2026-06-08 18:07:00,7,Evening Peak
T0193,R006,V018,2026-06-29 22:20:00,2026-06-29 22:32:00,12,Night
T0194,R002,V030,2026-06-27 13:50:00,2026-06-27 13:58:00,8,Midday
T0195,R004,V022,2026-06-21 16:00:00,2026-06-21 16:08:00,8,Evening Peak
T0196,R003,V027,2026-06-19 08:40:00,2026-06-19 08:54:00,14,Morning Peak
T0197,R004,V020,2026-06-07 18:10:00,2026-06-07 18:15:00,5,Evening Peak
T0198,R001,V009,2026-06-28 22:10:00,2026-06-28 22:17:00,7,Night
T0199,R005,V027,2026-06-06 07:00:00,2026-06-06 07:15:00,15,Morning Peak
T0200,R004,V020,2026-06-11 06:20:00,2026-06-11 06:29:00,9,Morning Peak
T0201,R001,V005,2026-06-24 11:00:00,2026-06-24 11:08:00,8,Midday
T0202,R006,V017,2026-06-19 07:40:00,2026-06-19 07:40:00,0,Morning Peak
T0203,R004,V021,2026-06-02 17:50:00,2026-06-02 17:50:00,0,Evening Peak
T0204,R001,V002,2026-06-16 18:30:00,2026-06-16 18:35:00,5,Evening Peak
T0205,R002,V016,2026-06-23 18:00:00,2026-06-23 18:13:00,13,Evening Peak
T0206,R003,V003,2026-06-05 09:50:00,2026-06-05 10:00:00,10,Morning Peak
T0207,R006,V013,2026-06-20 15:30:00,2026-06-20 15:31:00,1,Midday
T0208,R002,V030,2026-06-21 16:40:00,2026-06-21 16:47:00,7,Evening Peak
T0209,R004,V014,2026-06-15 18:30:00,2026-06-15 18:32:00,2,Evening Peak
T0210,R007,V025,2026-06-04 09:20:00,2026-06-04 09:26:00,6,Morning Peak
T0211,R005,V012,2026-06-05 17:30:00,2026-06-05 17:48:00,18,Evening Peak
T0212,R002,V014,2026-06-04 17:20:00,2026-06-04 17:31:00,11,Evening Peak
T0213,R003,V018,2026-06-02 16:40:00,2026-06-02 16:47:00,7,Evening Peak
T0214,R007,V012,2026-06-28 17:30:00,2026-06-28 17:33:00,3,Evening Peak
T0215,R001,V010,2026-06-20 09:00:00,2026-06-20 09:04:00,4,Morning Peak
T0216,R008,V008,2026-06-28 07:40:00,2026-06-28 07:45:00,5,Morning Peak
T0217,R006,V004,2026-06-25 09:10:00,2026-06-25 09:21:00,11,Morning Peak
T0218,R001,V021,2026-06-30 17:50:00,2026-06-30 17:50:00,0,Evening Peak
T0219,R005,V001,2026-06-06 09:20:00,2026-06-06 09:34:00,14,Morning Peak
T0220,R003,V030,2026-06-05 16:30:00,2026-06-05 16:37:00,7,Evening Peak
T0221,R002,V005,2026-06-24 16:00:00,2026-06-24 16:16:00,16,Evening Peak
T0222,R007,V014,2026-06-15 09:20:00,2026-06-15 09:26:00,6,Morning Peak
T0223,R005,V025,2026-06-11 17:40:00,2026-06-11 17:41:00,1,Evening Peak
T0224,R003,V006,2026-06-25 16:50:00,2026-06-25 16:54:00,4,Evening Peak
T0225,R002,V009,2026-06-15 17:30:00,2026-06-15 17:35:00,5,Evening Peak
T0226,R004,V026,2026-06-17 07:30:00,2026-06-17 07:30:00,0,Morning Peak
T0227,R002,V010,2026-06-22 17:30:00,2026-06-22 17:36:00,6,Evening Peak
T0228,R004,V013,2026-06-20 07:10:00,2026-06-20 07:12:00,2,Morning Peak
T0229,R005,V007,2026-06-25 08:20:00,2026-06-25 08:29:00,9,Morning Peak
T0230,R008,V025,2026-06-14 08:30:00,2026-06-14 08:38:00,8,Morning Peak
T0231,R004,V017,2026-06-18 18:20:00,2026-06-18 18:30:00,10,Evening Peak
T0232,R001,V014,2026-06-01 13:00:00,2026-06-01 13:08:00,8,Midday
T0233,R006,V020,2026-06-14 16:50:00,2026-06-14 16:56:00,6,Evening Peak
T0234,R007,V001,2026-06-11 08:40:00,2026-06-11 08:43:00,3,Morning Peak
T0235,R008,V028,2026-06-23 18:00:00,2026-06-23 18:04:00,4,Evening Peak
T0236,R007,V020,2026-06-13 15:30:00,2026-06-13 15:36:00,6,Midday
T0237,R005,V025,2026-06-11 08:10:00,2026-06-11 08:23:00,13,Morning Peak
T0238,R004,V026,2026-06-12 09:50:00,2026-06-12 09:56:00,6,Morning Peak
T0239,R003,V008,2026-06-04 08:10:00,2026-06-04 08:20:00,10,Morning Peak
T0240,R002,V006,2026-06-25 16:30:00,2026-06-25 16:39:00,9,Evening Peak
T0241,R008,V023,2026-06-30 18:50:00,2026-06-30 18:56:00,6,Evening Peak
T0242,R006,V005,2026-06-15 07:30:00,2026-06-15 07:35:00,5,Morning Peak
T0243,R005,V027,2026-06-09 16:20:00,2026-06-09 16:29:00,9,Evening Peak
T0244,R008,V002,2026-06-02 11:20:00,2026-06-02 11:27:00,7,Midday
T0245,R002,V022,2026-06-28 20:00:00,2026-06-28 20:05:00,5,Night
T0246,R008,V020,2026-06-18 20:50:00,2026-06-18 20:56:00,6,Night
T0247,R001,V015,2026-06-30 18:50:00,2026-06-30 18:56:00,6,Evening Peak
T0248,R003,V002,2026-06-15 07:20:00,2026-06-15 07:35:00,15,Morning Peak
T0249,R002,V017,2026-06-21 08:10:00,2026-06-21 08:14:00,4,Morning Peak
T0250,R003,V012,2026-06-12 18:30:00,2026-06-12 18:30:00,0,Evening Peak
T0251,R007,V026,2026-06-11 17:00:00,2026-06-11 17:03:00,3,Evening Peak
T0252,R002,V011,2026-06-04 16:30:00,2026-06-04 16:32:00,2,Evening Peak
T0253,R005,V009,2026-06-24 18:40:00,2026-06-24 18:51:00,11,Evening Peak
T0254,R003,V012,2026-06-10 20:50:00,2026-06-10 21:00:00,10,Night
T0255,R007,V005,2026-06-20 17:00:00,2026-06-20 17:05:00,5,Evening Peak
T0256,R006,V028,2026-06-05 17:50:00,2026-06-05 17:59:00,9,Evening Peak
T0257,R002,V022,2026-06-22 13:20:00,2026-06-22 13:32:00,12,Midday
T0258,R004,V011,2026-06-25 15:10:00,2026-06-25 15:14:00,4,Midday
T0259,R003,V005,2026-06-03 09:00:00,2026-06-03 09:09:00,9,Morning Peak
T0260,R001,V023,2026-06-11 18:40:00,2026-06-11 18:47:00,7,Evening Peak
T0261,R003,V021,2026-06-13 08:10:00,2026-06-13 08:22:00,12,Morning Peak
T0262,R003,V025,2026-06-15 06:20:00,2026-06-15 06:23:00,3,Morning Peak
T0263,R004,V015,2026-06-20 09:50:00,2026-06-20 09:54:00,4,Morning Peak
T0264,R004,V010,2026-06-26 17:10:00,2026-06-26 17:12:00,2,Evening Peak
T0265,R006,V023,2026-06-19 22:30:00,2026-06-19 22:39:00,9,Night
T0266,R007,V006,2026-06-27 08:40:00,2026-06-27 08:40:00,0,Morning Peak
T0267,R003,V030,2026-06-09 07:30:00,2026-06-09 07:43:00,13,Morning Peak
T0268,R002,V024,2026-06-28 15:00:00,2026-06-28 15:03:00,3,Midday
T0269,R005,V003,2026-06-25 08:30:00,2026-06-25 08:43:00,13,Morning Peak
T0270,R007,V003,2026-06-30 08:30:00,2026-06-30 08:34:00,4,Morning Peak
T0271,R006,V001,2026-06-14 07:40:00,2026-06-14 07:45:00,5,Morning Peak
T0272,R002,V012,2026-06-08 06:00:00,2026-06-08 06:13:00,13,Morning Peak
T0273,R006,V027,2026-06-05 08:20:00,2026-06-05 08:33:00,13,Morning Peak
T0274,R003,V026,2026-06-23 13:40:00,2026-06-23 13:47:00,7,Midday
T0275,R001,V003,2026-06-01 08:10:00,2026-06-01 08:11:00,1,Morning Peak
T0276,R007,V004,2026-06-25 09:20:00,2026-06-25 09:24:00,4,Morning Peak
T0277,R002,V002,2026-06-08 11:40:00,2026-06-08 11:46:00,6,Midday
T0278,R008,V021,2026-06-18 06:40:00,2026-06-18 06:47:00,7,Morning Peak
T0279,R004,V024,2026-06-05 09:00:00,2026-06-05 09:01:00,1,Morning Peak
T0280,R007,V006,2026-06-22 17:40:00,2026-06-22 17:40:00,0,Evening Peak
T0281,R006,V003,2026-06-17 15:40:00,2026-06-17 15:44:00,4,Midday
T0282,R008,V002,2026-06-21 11:20:00,2026-06-21 11:26:00,6,Midday
T0283,R005,V025,2026-06-01 09:00:00,2026-06-01 09:04:00,4,Morning Peak
T0284,R002,V026,2026-06-19 17:20:00,2026-06-19 17:32:00,12,Evening Peak
T0285,R003,V002,2026-06-12 16:50:00,2026-06-12 17:04:00,14,Evening Peak
T0286,R008,V024,2026-06-16 16:10:00,2026-06-16 16:22:00,12,Evening Peak
T0287,R002,V024,2026-06-25 20:00:00,2026-06-25 20:07:00,7,Night
T0288,R004,V002,2026-06-11 20:40:00,2026-06-11 20:46:00,6,Night
T0289,R007,V028,2026-06-18 13:00:00,2026-06-18 13:02:00,2,Midday
T0290,R006,V030,2026-06-25 07:50:00,2026-06-25 07:52:00,2,Morning Peak
T0291,R006,V009,2026-06-04 17:30:00,2026-06-04 17:41:00,11,Evening Peak
T0292,R007,V011,2026-06-06 15:30:00,2026-06-06 15:30:00,0,Midday
T0293,R006,V027,2026-06-17 09:00:00,2026-06-17 09:09:00,9,Morning Peak
T0294,R003,V018,2026-06-10 09:00:00,2026-06-10 09:11:00,11,Morning Peak
T0295,R006,V023,2026-06-10 09:40:00,2026-06-10 09:48:00,8,Morning Peak
T0296,R008,V012,2026-06-15 06:20:00,2026-06-15 06:27:00,7,Morning Peak
T0297,R007,V009,2026-06-21 22:00:00,2026-06-21 22:08:00,8,Night
T0298,R006,V017,2026-06-26 17:10:00,2026-06-26 17:18:00,8,Evening Peak
T0299,R001,V005,2026-06-28 16:30:00,2026-06-28 16:40:00,10,Evening Peak
T0300,R006,V012,2026-06-13 20:00:00,2026-06-13 20:08:00,8,Night
T0301,R003,V023,2026-06-15 20:20:00,2026-06-15 20:31:00,11,Night
T0302,R003,V017,2026-06-12 11:50:00,2026-06-12 12:00:00,10,Midday
T0303,R005,V008,2026-06-04 06:10:00,2026-06-04 06:14:00,4,Morning Peak
T0304,R002,V009,2026-06-25 08:30:00,2026-06-25 08:38:00,8,Morning Peak
T0305,R004,V021,2026-06-10 17:30:00,2026-06-10 17:34:00,4,Evening Peak
T0306,R002,V015,2026-06-06 18:30:00,2026-06-06 18:39:00,9,Evening Peak
T0307,R002,V027,2026-06-22 20:20:00,2026-06-22 20:28:00,8,Night
T0308,R005,V010,2026-06-28 08:50:00,2026-06-28 08:55:00,5,Morning Peak
T0309,R003,V027,2026-06-12 15:00:00,2026-06-12 15:20:00,20,Midday
T0310,R004,V027,2026-06-16 06:40:00,2026-06-16 06:46:00,6,Morning Peak
T0311,R006,V015,2026-06-26 22:10:00,2026-06-26 22:14:00,4,Night
T0312,R005,V013,2026-06-23 17:40:00,2026-06-23 17:47:00,7,Evening Peak
T0313,R007,V026,2026-06-14 18:00:00,2026-06-14 18:04:00,4,Evening Peak
T0314,R002,V015,2026-06-15 17:20:00,2026-06-15 17:29:00,9,Evening Peak
T0315,R003,V028,2026-06-25 16:40:00,2026-06-25 16:53:00,13,Evening Peak
