ridership_id,trip_id,station_id,boardings,alightings,passenger_load_after_stop,vehicle_capacity,is_overcrowded
RD00044,T0008,S026,11,3,26,25,Yes
RD00045,T0008,S027,4,5,25,25,No
RD00046,T0008,S028,2,0,37,25,Yes
RD00047,T0008,S029,3,0,40,25,Yes
RD00048,T0008,S030,4,40,4,25,No
RD00049,T0009,S025,6,0,6,45,No
RD00050,T0009,S026,6,5,7,45,No
RD00051,T0009,S027,7,1,13,45,No
RD00052,T0009,S028,8,2,19,45,No
RD00053,T0009,S029,4,1,22,45,No
RD00054,T0009,S030,3,22,3,45,No
RD00055,T0010,S001,21,0,23,70,No
RD00056,T0010,S002,4,12,15,70,No
RD00057,T0010,S003,11,1,25,70,No
RD00058,T0010,S004,10,5,30,70,No
RD00059,T0010,S005,13,2,41,70,No
RD00060,T0010,S006,1,41,1,70,No
RD00061,T0011,S031,27,0,37,45,No
RD00062,T0011,S032,19,8,53,45,Yes
RD00063,T0011,S033,12,7,58,45,Yes
RD00064,T0011,S034,14,2,70,45,Yes
RD00065,T0011,S035,7,7,70,45,Yes
RD00066,T0011,S036,0,70,0,45,No
RD00067,T0012,S007,7,0,7,25,No
RD00068,T0012,S008,4,5,6,25,No
RD00069,T0012,S009,4,2,8,25,No
RD00070,T0012,S010,2,2,8,25,No
RD00071,T0012,S011,3,1,10,25,No
RD00072,T0012,S012,0,10,0,25,No
RD00073,T0013,S013,14,0,17,45,No
RD00074,T0013,S014,10,9,18,45,No
RD00075,T0013,S015,5,9,14,45,No
RD00076,T0013,S016,11,0,25,45,No
RD00077,T0013,S017,4,4,25,45,No
RD00078,T0013,S018,4,25,4,45,No
RD00079,T0014,S037,7,0,11,25,No
RD00080,T0014,S038,6,1,16,25,No
RD00081,T0014,S039,3,3,16,25,No
RD00082,T0014,S040,1,5,12,25,No
RD00083,T0014,S041,4,1,15,25,No
RD00084,T0014,S042,3,15,3,25,No
RD00085,T0015,S019,9,0,10,45,No
RD00086,T0015,S020,11,7,14,45,No
RD00087,T0015,S021,2,9,7,45,No
RD00088,T0015,S022,6,0,13,45,No
RD00089,T0015,S023,3,5,11,45,No
RD00090,T0015,S024,3,11,3,45,No
RD00091,T0016,S043,12,0,18,25,No
RD00092,T0016,S044,11,4,25,25,No
RD00093,T0016,S045,2,3,28,25,Yes
RD00094,T0016,S046,5,0,33,25,Yes
RD00095,T0016,S047,7,0,40,25,Yes
RD00096,T0016,S048,4,40,4,25,No
RD00097,T0017,S001,18,0,24,45,No
RD00098,T0017,S002,18,8,34,45,No
RD00099,T0017,S003,3,4,33,45,No
RD00100,T0017,S004,7,8,32,45,No
RD00101,T0017,S005,18,2,48,45,Yes
RD00102,T0017,S006,4,48,4,45,No
RD00103,T0018,S001,13,0,19,25,No
RD00104,T0018,S002,5,0,24,25,No
RD00105,T0018,S003,4,5,27,25,Yes
RD00106,T0018,S004,2,3,26,25,Yes
RD00107,T0018,S005,1,4,23,25,No
RD00108,T0018,S006,1,23,1,25,No
RD00109,T0019,S007,5,0,10,25,No
RD00110,T0019,S008,8,1,17,25,No
RD00111,T0019,S009,9,4,22,25,No
RD00112,T0019,S010,5,5,22,25,No
RD00113,T0019,S011,5,1,26,25,Yes
RD00114,T0019,S012,0,26,0,25,No
RD00115,T0020,S043,5,0,5,25,No
RD00116,T0020,S044,3,3,5,25,No
RD00117,T0020,S045,1,4,2,25,No
RD00118,T0020,S046,6,1,7,25,No
RD00119,T0020,S047,6,4,9,25,No
RD00120,T0020,S048,0,9,0,25,No
RD00121,T0021,S019,10,0,13,25,No
RD00122,T0021,S020,8,0,21,25,No
RD00123,T0021,S021,6,1,26,25,Yes
RD00124,T0021,S022,10,0,36,25,Yes
RD00125,T0021,S023,4,0,40,25,Yes
RD00126,T0021,S024,0,40,3,25,No
RD00127,T0022,S001,3,0,4,25,No
RD00128,T0022,S002,3,3,4,25,No
RD00129,T0022,S003,2,3,3,25,No
RD00130,T0022,S004,1,1,3,25,No
RD00131,T0022,S005,2,3,2,25,No
RD00132,T0022,S006,2,2,2,25,No
RD00133,T0023,S001,19,0,22,45,No
RD00134,T0023,S002,9,5,26,45,No
RD00135,T0023,S003,12,9,29,45,No
RD00136,T0023,S004,6,0,35,45,No
RD00137,T0023,S005,2,8,29,45,No
RD00138,T0023,S006,0,29,0,45,No
RD00139,T0024,S043,15,0,19,45,No
RD00140,T0024,S044,15,8,32,45,No
RD00141,T0024,S045,19,4,47,45,Yes
RD00142,T0024,S046,8,9,46,45,Yes
RD00143,T0024,S047,16,9,53,45,Yes
RD00144,T0024,S048,1,53,1,45,No
RD00145,T0025,S019,15,0,19,25,No
RD00146,T0025,S020,1,1,19,25,No
RD00147,T0025,S021,4,0,23,25,No
RD00148,T0025,S022,1,5,19,25,No
RD00149,T0025,S023,11,0,30,25,Yes
RD00150,T0025,S024,2,30,2,25,No
RD00151,T0026,S001,6,0,10,25,No
RD00152,T0026,S002,3,0,13,25,No
RD00153,T0026,S003,1,0,14,25,No
RD00154,T0026,S004,7,4,17,25,No
RD00155,T0026,S005,8,2,23,25,No
RD00156,T0026,S006,0,23,0,25,No
RD00157,T0027,S013,4,0,8,25,No
RD00158,T0027,S014,4,5,7,25,No
RD00159,T0027,S015,5,0,12,25,No
RD00160,T0027,S016,1,4,9,25,No
RD00161,T0027,S017,6,3,12,25,No
RD00162,T0027,S018,1,12,1,25,No
RD00163,T0028,S001,10,0,13,45,No
RD00164,T0028,S002,6,4,15,45,No
RD00165,T0028,S003,6,6,15,45,No
RD00166,T0028,S004,8,5,18,45,No
RD00167,T0028,S005,4,4,18,45,No
RD00168,T0028,S006,0,18,0,45,No
RD00169,T0029,S025,4,0,5,25,No
RD00170,T0029,S026,1,4,2,25,No
RD00171,T0029,S027,1,0,3,25,No
RD00172,T0029,S028,4,1,6,25,No
RD00173,T0029,S029,3,3,6,25,No
RD00174,T0029,S030,3,6,3,25,No
RD00175,T0030,S019,14,0,15,45,No
RD00176,T0030,S020,4,5,14,45,No
RD00177,T0030,S021,5,7,12,45,No
RD00178,T0030,S022,5,7,10,45,No
RD00179,T0030,S023,2,1,11,45,No
RD00180,T0030,S024,1,11,1,45,No
RD00181,T0031,S001,15,0,25,45,No
RD00182,T0031,S002,2,9,18,45,No
RD00183,T0031,S003,5,5,18,45,No
RD00184,T0031,S004,12,3,27,45,No
RD00185,T0031,S005,10,0,37,45,No
RD00186,T0031,S006,1,37,10,45,No
RD00187,T0032,S013,25,0,39,70,No
RD00188,T0032,S014,9,1,47,70,No
RD00189,T0032,S015,15,0,62,70,No
RD00190,T0032,S016,26,13,75,70,Yes
RD00191,T0032,S017,6,10,71,70,Yes
RD00192,T0032,S018,2,71,2,70,No
RD00193,T0033,S007,11,0,13,70,No
RD00194,T0033,S008,29,3,39,70,No
RD00195,T0033,S009,22,1,60,70,No
RD00196,T0033,S010,4,7,57,70,No
RD00197,T0033,S011,28,9,76,70,Yes
RD00198,T0033,S012,3,76,3,70,No
RD00199,T0034,S019,27,0,33,45,No
RD00200,T0034,S020,7,5,35,45,No
RD00201,T0034,S021,9,4,40,45,No
RD00202,T0034,S022,2,2,40,45,No
RD00203,T0034,S023,8,9,39,45,No
RD00204,T0034,S024,3,39,3,45,No
RD00205,T0035,S037,10,0,21,25,No
RD00206,T0035,S038,3,3,21,25,No
RD00207,T0035,S039,9,5,25,25,No
RD00208,T0035,S040,1,4,22,25,No
RD00209,T0035,S041,6,5,23,25,No
RD00210,T0035,S042,3,23,3,25,No
RD00211,T0036,S031,7,0,11,25,No
RD00212,T0036,S032,4,2,13,25,No
RD00213,T0036,S033,2,2,13,25,No
RD00214,T0036,S034,3,0,16,25,No
RD00215,T0036,S035,2,4,14,25,No
RD00216,T0036,S036,0,14,0,25,No
RD00217,T0037,S025,5,0,11,25,No
RD00218,T0037,S026,4,0,15,25,No
RD00219,T0037,S027,3,4,14,25,No
RD00220,T0037,S028,2,4,12,25,No
RD00221,T0037,S029,1,1,12,25,No
RD00222,T0037,S030,1,12,1,25,No
RD00223,T0038,S007,6,0,11,25,No
RD00224,T0038,S008,1,5,7,25,No
RD00225,T0038,S009,10,1,16,25,No
RD00226,T0038,S010,6,3,19,25,No
RD00227,T0038,S011,3,1,21,25,No
RD00228,T0038,S012,2,21,2,25,No
RD00229,T0039,S013,11,0,22,70,No
RD00230,T0039,S014,10,5,27,70,No
RD00231,T0039,S015,32,3,56,70,No
RD00232,T0039,S016,32,2,89,70,Yes
RD00233,T0039,S017,15,3,111,70,Yes
RD00234,T0039,S018,0,111,0,70,No
RD00235,T0040,S025,18,0,24,70,No
RD00236,T0040,S026,21,2,48,70,No
RD00237,T0040,S027,10,9,49,70,No
RD00238,T0040,S028,24,13,60,70,No
RD00239,T0040,S029,26,5,81,70,Yes
RD00240,T0040,S030,2,81,2,70,No
RD00241,T0041,S025,4,0,5,25,No
RD00242,T0041,S026,4,5,4,25,No
RD00243,T0041,S027,6,3,7,25,No
RD00244,T0041,S028,2,2,7,25,No
RD00245,T0041,S029,5,5,7,25,No
RD00246,T0041,S030,4,7,4,25,No
RD00247,T0042,S013,24,0,35,70,No
RD00248,T0042,S014,12,13,34,70,No
RD00249,T0042,S015,19,11,42,70,No
RD00250,T0042,S016,1,11,32,70,No
RD00251,T0042,S017,26,9,49,70,No
RD00252,T0042,S018,4,49,16,70,No
RD00253,T0043,S031,15,0,17,25,No
RD00254,T0043,S032,11,1,27,25,Yes
RD00255,T0043,S033,3,3,27,25,Yes
RD00256,T0043,S034,4,0,31,25,Yes
RD00257,T0043,S035,3,2,32,25,Yes
RD00258,T0043,S036,0,32,0,25,No
RD00259,T0044,S001,8,0,13,25,No
RD00260,T0044,S002,3,5,11,25,No
RD00261,T0044,S003,1,3,9,25,No
RD00262,T0044,S004,2,2,9,25,No
RD00263,T0044,S005,6,1,14,25,No
RD00264,T0044,S006,0,14,0,25,No
RD00265,T0045,S001,7,0,9,25,No
RD00266,T0045,S002,1,5,15,25,No
RD00267,T0045,S003,7,5,17,25,No
RD00268,T0045,S004,8,3,22,25,No
RD00269,T0045,S005,9,2,29,25,Yes
RD00270,T0045,S006,3,29,3,25,No
RD00271,T0046,S043,8,0,12,25,No
RD00272,T0046,S044,2,5,9,25,No
RD00273,T0046,S045,4,1,12,25,No
RD00274,T0046,S046,1,0,13,25,No
RD00275,T0046,S047,1,2,12,25,No
RD00276,T0046,S048,2,12,2,25,No
RD00277,T0047,S007,4,0,11,25,No
RD00278,T0047,S008,3,3,11,25,No
RD00279,T0047,S009,2,4,9,25,No
RD00280,T0047,S010,8,4,13,25,No
RD00281,T0047,S011,11,3,21,25,No
RD00282,T0047,S012,3,21,3,25,No
RD00283,T0048,S013,8,0,8,25,No
RD00284,T0048,S014,7,1,14,25,No
RD00285,T0048,S015,9,5,18,25,No
RD00286,T0048,S016,5,2,21,25,No
RD00287,T0048,S017,7,0,28,25,Yes
RD00288,T0048,S018,3,28,3,25,No
RD00289,T0049,S001,10,0,21,70,No
RD00290,T0049,S002,31,4,48,70,No
RD00291,T0049,S003,14,0,62,70,No
RD00292,T0049,S004,6,4,64,70,No
RD00293,T0049,S005,20,1,83,70,Yes
RD00294,T0049,S006,3,83,3,70,No
RD00295,T0050,S037,15,0,23,70,No
RD00296,T0050,S038,12,6,29,70,No
RD00297,T0050,S039,24,6,47,70,No
RD00298,T0050,S040,17,0,64,70,No
RD00299,T0050,S041,15,4,75,70,Yes
RD00300,T0050,S042,4,75,8,70,No
RD00301,T0051,S013,32,0,34,70,No
RD00302,T0051,S014,15,6,43,70,No
RD00303,T0051,S015,25,13,55,70,No
RD00304,T0051,S016,31,6,80,70,Yes
RD00305,T0051,S017,31,3,108,70,Yes
RD00306,T0051,S018,3,108,3,70,No
RD00307,T0052,S031,18,0,19,70,No
RD00308,T0052,S032,17,9,27,70,No
RD00309,T0052,S033,5,12,20,70,No
RD00310,T0052,S034,15,1,34,70,No
RD00311,T0052,S035,6,2,38,70,No
RD00312,T0052,S036,1,38,1,70,No
RD00313,T0053,S019,18,0,28,70,No
RD00314,T0053,S020,28,10,46,70,No
RD00315,T0053,S021,10,13,43,70,No
RD00316,T0053,S022,21,4,60,70,No
RD00317,T0053,S023,5,14,51,70,No
RD00318,T0053,S024,4,51,4,70,No
RD00319,T0054,S043,7,0,9,25,No
RD00320,T0054,S044,10,0,19,25,No
RD00321,T0054,S045,2,3,18,25,No
RD00322,T0054,S046,10,1,27,25,Yes
RD00323,T0054,S047,2,0,29,25,Yes
RD00324,T0054,S048,0,29,0,25,No
RD00325,T0055,S031,17,0,25,45,No
RD00326,T0055,S032,13,4,34,45,No
RD00327,T0055,S033,20,9,45,45,No
RD00328,T0055,S034,9,2,52,45,Yes
RD00329,T0055,S035,20,9,63,45,Yes
RD00330,T0055,S036,3,63,11,45,No
RD00331,T0056,S037,13,0,20,70,No
RD00332,T0056,S038,18,14,24,70,No
RD00333,T0056,S039,22,0,46,70,No
RD00334,T0056,S040,20,4,62,70,No
RD00335,T0056,S041,7,7,62,70,No
RD00336,T0056,S042,1,62,1,70,No
RD00337,T0057,S031,22,0,36,70,No
RD00338,T0057,S032,11,13,34,70,No
RD00339,T0057,S033,14,4,44,70,No
RD00340,T0057,S034,3,9,38,70,No
RD00341,T0057,S035,15,3,50,70,No
RD00342,T0057,S036,1,50,1,70,No
RD00343,T0058,S025,13,0,19,45,No
RD00344,T0058,S026,6,8,17,45,No
RD00345,T0058,S027,9,0,26,45,No
RD00346,T0058,S028,2,2,26,45,No
RD00347,T0058,S029,9,4,31,45,No
RD00348,T0058,S030,3,31,3,45,No
RD00349,T0059,S001,7,0,8,25,No
RD00350,T0059,S002,1,4,5,25,No
RD00351,T0059,S003,2,1,6,25,No
RD00352,T0059,S004,1,1,6,25,No
RD00353,T0059,S005,1,1,6,25,No
RD00354,T0059,S006,3,6,3,25,No
RD00355,T0060,S007,17,0,17,45,No
RD00356,T0060,S008,12,4,25,45,No
RD00357,T0060,S009,13,8,30,45,No
RD00358,T0060,S010,1,1,30,45,No
RD00359,T0060,S011,20,7,43,45,No
RD00360,T0060,S012,3,43,3,45,No
RD00361,T0061,S001,17,0,22,45,No
RD00362,T0061,S002,3,4,21,45,No
RD00363,T0061,S003,2,6,17,45,No
RD00364,T0061,S004,7,9,15,45,No
RD00365,T0061,S005,7,3,19,45,No
RD00366,T0061,S006,3,19,3,45,No
RD00367,T0062,S019,40,0,40,70,No
RD00368,T0062,S020,12,10,42,70,No
RD00369,T0062,S021,15,0,57,70,No
RD00370,T0062,S022,20,12,65,70,No
RD00371,T0062,S023,18,11,72,70,Yes
RD00372,T0062,S024,3,72,3,70,No
RD00373,T0063,S031,26,0,40,70,No
RD00374,T0063,S032,26,4,62,70,No
RD00375,T0063,S033,33,0,95,70,Yes
RD00376,T0063,S034,24,13,106,70,Yes
RD00377,T0063,S035,19,9,116,70,Yes
RD00378,T0063,S036,0,116,0,70,No
RD00379,T0064,S025,7,0,9,25,No
RD00380,T0064,S026,5,2,12,25,No
RD00381,T0064,S027,5,5,12,25,No
RD00382,T0064,S028,4,4,12,25,No
RD00383,T0064,S029,7,4,15,25,No
RD00384,T0064,S030,1,15,1,25,No
RD00385,T0065,S025,10,0,15,25,No
RD00386,T0065,S026,7,2,20,25,No
RD00387,T0065,S027,1,5,16,25,No
RD00388,T0065,S028,4,4,16,25,No
RD00389,T0065,S029,4,5,15,25,No
RD00390,T0065,S030,3,15,3,25,No
RD00391,T0066,S013,42,0,53,70,No
RD00392,T0066,S014,12,2,63,70,No
RD00393,T0066,S015,9,7,65,70,No
RD00394,T0066,S016,12,11,66,70,No
RD00395,T0066,S017,22,14,74,70,Yes
RD00396,T0066,S018,1,74,1,70,No
RD00397,T0067,S001,15,0,26,45,No
RD00398,T0067,S002,12,5,33,45,No
RD00399,T0067,S003,15,4,44,45,No
RD00400,T0067,S004,2,7,39,45,No
RD00401,T0067,S005,19,9,49,45,Yes
RD00402,T0067,S006,0,49,0,45,No
RD00403,T0068,S043,11,0,12,25,No
RD00404,T0068,S044,7,5,14,25,No
RD00405,T0068,S045,1,3,12,25,No
RD00406,T0068,S046,3,1,14,25,No
RD00407,T0068,S047,7,2,19,25,No
RD00408,T0068,S048,3,19,3,25,No
RD00409,T0069,S013,14,0,20,25,No
RD00410,T0069,S014,8,0,28,25,Yes
RD00411,T0069,S015,6,1,33,25,Yes
RD00412,T0069,S016,8,0,41,25,Yes
RD00413,T0069,S017,10,1,50,25,Yes
RD00414,T0069,S018,3,50,3,25,No
RD00415,T0070,S019,4,0,10,25,No
RD00416,T0070,S020,11,3,18,25,No
RD00417,T0070,S021,8,3,23,25,No
RD00418,T0070,S022,9,0,32,25,Yes
RD00419,T0070,S023,1,2,31,25,Yes
RD00420,T0070,S024,4,31,4,25,No
RD00421,T0071,S013,3,0,8,25,No
RD00422,T0071,S014,4,1,11,25,No
RD00423,T0071,S015,5,2,14,25,No
RD00424,T0071,S016,9,3,20,25,No
RD00425,T0071,S017,2,1,21,25,No
RD00426,T0071,S018,2,21,2,25,No
RD00427,T0072,S043,14,0,17,25,No
RD00428,T0072,S044,6,4,19,25,No
RD00429,T0072,S045,3,5,17,25,No
RD00430,T0072,S046,6,3,20,25,No
RD00431,T0072,S047,7,1,32,25,Yes
RD00432,T0072,S048,1,32,1,25,No
RD00433,T0073,S037,42,0,42,70,No
RD00434,T0073,S038,3,5,40,70,No
RD00435,T0073,S039,17,10,47,70,No
RD00436,T0073,S040,4,9,42,70,No
RD00437,T0073,S041,7,0,49,70,No
RD00438,T0073,S042,0,49,4,70,No
RD00439,T0074,S007,10,0,13,25,No
RD00440,T0074,S008,5,4,14,25,No
RD00441,T0074,S009,4,1,17,25,No
RD00442,T0074,S010,1,5,13,25,No
RD00443,T0074,S011,2,5,10,25,No
RD00444,T0074,S012,2,10,2,25,No
RD00445,T0075,S043,36,0,40,70,No
RD00446,T0075,S044,33,1,72,70,Yes
RD00447,T0075,S045,19,1,90,70,Yes
RD00448,T0075,S046,32,1,121,70,Yes
RD00449,T0075,S047,17,3,135,70,Yes
RD00450,T0075,S048,1,135,1,70,No
RD00451,T0076,S031,5,0,8,25,No
RD00452,T0076,S032,1,1,8,25,No
RD00453,T0076,S033,4,4,8,25,No
RD00454,T0076,S034,6,1,13,25,No
RD00455,T0076,S035,3,3,13,25,No
RD00456,T0076,S036,1,13,1,25,No
RD00457,T0077,S037,6,0,6,45,No
RD00458,T0077,S038,19,0,25,45,No
RD00459,T0077,S039,3,2,26,45,No
RD00460,T0077,S040,4,1,29,45,No
RD00461,T0077,S041,15,3,41,45,No
RD00462,T0077,S042,2,41,2,45,No
RD00463,T0078,S025,4,0,4,25,No
RD00464,T0078,S026,5,0,9,25,No
RD00465,T0078,S027,6,5,10,25,No
RD00466,T0078,S028,2,0,12,25,No
RD00467,T0078,S029,1,0,13,25,No
RD00468,T0078,S030,1,13,1,25,No
RD00469,T0079,S043,27,0,41,70,No
RD00470,T0079,S044,24,1,64,70,No
RD00471,T0079,S045,8,2,70,70,No
RD00472,T0079,S046,18,7,81,70,Yes
RD00473,T0079,S047,31,11,101,70,Yes
RD00474,T0079,S048,1,101,1,70,No
RD00475,T0080,S031,23,0,24,70,No
RD00476,T0080,S032,4,2,26,70,No
RD00477,T0080,S033,16,6,36,70,No
RD00478,T0080,S034,15,12,39,70,No
RD00479,T0080,S035,13,2,50,70,No
RD00480,T0080,S036,2,50,2,70,No
RD00481,T0081,S013,3,0,7,25,No
RD00482,T0081,S014,3,5,5,25,No
RD00483,T0081,S015,2,3,4,25,No
RD00484,T0081,S016,1,3,10,25,No
RD00485,T0081,S017,11,0,21,25,No
RD00486,T0081,S018,4,21,4,25,No
RD00487,T0082,S031,8,0,9,25,No
RD00488,T0082,S032,5,2,12,25,No
RD00489,T0082,S033,6,4,14,25,No
RD00490,T0082,S034,5,5,14,25,No
RD00491,T0082,S035,4,0,18,25,No
RD00492,T0082,S036,1,18,1,25,No
RD00493,T0083,S037,17,0,24,45,No
RD00494,T0083,S038,5,6,23,45,No
RD00495,T0083,S039,20,8,40,45,No
RD00496,T0083,S040,16,8,48,45,Yes
RD00497,T0083,S041,3,2,49,45,Yes
RD00498,T0083,S042,2,49,2,45,No
RD00499,T0084,S037,10,0,18,70,No
RD00500,T0084,S038,8,8,18,70,No
RD00501,T0084,S039,13,8,23,70,No
RD00502,T0084,S040,8,6,25,70,No
RD00503,T0084,S041,15,1,39,70,No
RD00504,T0084,S042,3,39,3,70,No
RD00505,T0085,S037,7,0,13,25,No
RD00506,T0085,S038,1,3,11,25,No
RD00507,T0085,S039,4,3,12,25,No
RD00508,T0085,S040,1,2,11,25,No
RD00509,T0085,S041,6,3,14,25,No
RD00510,T0085,S042,0,14,0,25,No
RD00511,T0086,S019,35,0,38,70,No
RD00512,T0086,S020,1,8,31,70,No
RD00513,T0086,S021,20,12,39,70,No
RD00514,T0086,S022,14,8,45,70,No
RD00515,T0086,S023,22,7,60,70,No
RD00516,T0086,S024,0,60,0,70,No
RD00517,T0087,S001,16,0,23,45,No
RD00518,T0087,S002,20,9,34,45,No
RD00519,T0087,S003,15,5,44,45,No
RD00520,T0087,S004,1,3,42,45,No
RD00521,T0087,S005,18,4,56,45,Yes
RD00522,T0087,S006,0,56,5,45,No
RD00523,T0088,S013,18,0,33,70,No
RD00524,T0088,S014,27,11,49,70,No
RD00525,T0088,S015,13,9,53,70,No
RD00526,T0088,S016,26,14,65,70,No
RD00527,T0088,S017,13,13,65,70,No
RD00528,T0088,S018,0,65,0,70,No
RD00529,T0089,S001,8,0,8,25,No
RD00530,T0089,S002,5,5,8,25,No
RD00531,T0089,S003,4,0,12,25,No
RD00532,T0089,S004,6,3,15,25,No
RD00533,T0089,S005,5,4,16,25,No
RD00534,T0089,S006,1,16,1,25,No
RD00535,T0090,S031,3,0,6,25,No
RD00536,T0090,S032,9,0,15,25,No
RD00537,T0090,S033,8,4,19,25,No
RD00538,T0090,S034,10,1,28,25,Yes
RD00539,T0090,S035,2,1,29,25,Yes
RD00540,T0090,S036,4,29,4,25,No
RD00541,T0091,S025,7,0,9,25,No
RD00542,T0091,S026,4,3,10,25,No
RD00543,T0091,S027,6,4,12,25,No
RD00544,T0091,S028,3,1,14,25,No
RD00545,T0091,S029,3,3,14,25,No
RD00546,T0091,S030,2,14,2,25,No
RD00547,T0092,S001,18,0,32,70,No
RD00548,T0092,S002,33,9,56,70,No
RD00549,T0092,S003,21,11,66,70,No
RD00550,T0092,S004,14,14,66,70,No
RD00551,T0092,S005,19,9,76,70,Yes
RD00552,T0092,S006,1,76,1,70,No
RD00553,T0093,S001,4,0,9,25,No
RD00554,T0093,S002,5,4,10,25,No
RD00555,T0093,S003,6,5,11,25,No
RD00556,T0093,S004,6,2,15,25,No
RD00557,T0093,S005,3,0,18,25,No
RD00558,T0093,S006,4,18,4,25,No
RD00559,T0094,S019,24,0,31,45,No
RD00560,T0094,S020,18,6,43,45,No
RD00561,T0094,S021,1,6,38,45,No
RD00562,T0094,S022,13,0,51,45,Yes
RD00563,T0094,S023,7,0,58,45,Yes
RD00564,T0094,S024,1,58,1,45,No
RD00565,T0095,S019,7,0,12,25,No
RD00566,T0095,S020,5,0,17,25,No
RD00567,T0095,S021,1,4,14,25,No
RD00568,T0095,S022,2,3,13,25,No
RD00569,T0095,S023,9,5,17,25,No
RD00570,T0095,S024,4,17,4,25,No
RD00571,T0096,S007,15,0,19,25,No
RD00572,T0096,S008,5,5,19,25,No
RD00573,T0096,S009,7,0,26,25,Yes
RD00574,T0096,S010,6,5,27,25,Yes
RD00575,T0096,S011,1,0,28,25,Yes
RD00576,T0096,S012,1,28,1,25,No
RD00577,T0097,S007,9,0,16,45,No
RD00578,T0097,S008,10,5,21,45,No
RD00579,T0097,S009,10,8,23,45,No
RD00580,T0097,S010,4,3,24,45,No
RD00581,T0097,S011,8,4,28,45,No
RD00582,T0097,S012,1,28,1,45,No
RD00583,T0098,S037,8,0,18,45,No
RD00584,T0098,S038,17,2,33,45,No
RD00585,T0098,S039,14,0,47,45,Yes
RD00586,T0098,S040,5,4,48,45,Yes
RD00587,T0098,S041,1,4,45,45,No
RD00588,T0098,S042,1,45,9,45,No
RD00589,T0099,S019,3,0,7,25,No
RD00590,T0099,S020,10,5,12,25,No
RD00591,T0099,S021,8,2,18,25,No
RD00592,T0099,S022,6,4,28,25,Yes
RD00593,T0099,S023,4,4,28,25,Yes
RD00594,T0099,S024,4,28,15,25,No
RD00595,T0100,S001,16,0,21,70,No
RD00596,T0100,S002,18,8,31,70,No
RD00597,T0100,S003,3,6,28,70,No
RD00598,T0100,S004,8,5,31,70,No
RD00599,T0100,S005,7,14,24,70,No
RD00600,T0100,S006,2,24,2,70,No
RD00601,T0101,S007,8,0,10,25,No
RD00602,T0101,S008,9,4,15,25,No
RD00603,T0101,S009,11,4,30,25,Yes
RD00604,T0101,S010,4,3,31,25,Yes
RD00605,T0101,S011,10,4,37,25,Yes
RD00606,T0101,S012,0,37,0,25,No
RD00607,T0102,S031,34,0,44,70,No
RD00608,T0102,S032,25,1,68,70,No
RD00609,T0102,S033,19,11,87,70,Yes
RD00610,T0102,S034,24,13,98,70,Yes
RD00611,T0102,S035,29,8,119,70,Yes
RD00612,T0102,S036,2,119,2,70,No
RD00613,T0103,S013,8,0,9,25,No
RD00614,T0103,S014,3,0,12,25,No
RD00615,T0103,S015,9,4,21,25,No
RD00616,T0103,S016,11,1,31,25,Yes
RD00617,T0103,S017,11,1,41,25,Yes
RD00618,T0103,S018,0,41,0,25,No
RD00619,T0104,S043,14,0,20,25,No
RD00620,T0104,S044,7,5,22,25,No
RD00621,T0104,S045,11,0,33,25,Yes
RD00622,T0104,S046,6,3,40,25,Yes
RD00623,T0104,S047,3,0,43,25,Yes
