ridership_id,trip_id,station_id,boardings,alightings
640,2736,7,36,57
641,1768,200,0,43
642,3854,188,30,8
643,5790,179,49,9
644,4685,84,43,32
645,4080,16,60,45
646,2234,216,60,55
647,5285,110,52,709
648,3471,208,39,825
649,1536,200,29,27
650,2509,68,34,11
651,4916,211,51,18
652,2953,12,3,30
653,3262,206,6,27
654,3918,127,55,49
655,4305,66,8,17
656,3442,74,36,4
657,3192,50,60,43
658,2734,6,54,53
659,1423,88,38,11
660,812,100,38,4
661,5023,122,33,3
662,4175,37,13,3
663,378,6,33,4
664,2523,212,-4,37
665,3935,77,14,11
666,3541,147,55,45
667,2284,160,18,6
668,740,179,24,43
669,2888,157,39,7
670,5688,45,36,54
671,2154,11,15,4
672,4444,40,35,29
673,774,68,27,58
674,2859,25,5,41
675,1545,212,14,36
676,488,95,38,60
677,3541,175,27,41
678,1264,56,36,60
679,1548,143,43,13
680,2927,174,47,56
681,1303,136,32,19
682,3884,185,30,15
683,4505,162,,20
684,1996,3,52,46
685,3675,122,50,8
686,650,117,36,13
687,3286,41,22,2
688,2704,91,12,10
689,5058,156,9,17
690,5363,163,19,43
691,4187,63,44,29
692,4575,184,29,48
693,4827,62,46,32
694,4314,146,53,17
695,650,206,10,54
696,3574,114,10,32
697,2107,128,50,34
698,5051,22,-7,18
699,5776,220,50,10
700,5083,204,24,20
701,2308,26,47,20
702,609,171,32,3
703,2341,6,16,4
704,66,118,51,6
705,1104,153,49,51
706,5640,64,29,3
707,1475,109,23,28
708,817,75,39,25
709,2930,82,1,5
710,3032,54,57,4
711,249,30,46,20
712,3026,102,28,53
713,751,209,,30
714,380,186,44,45
715,5441,178,29,17
716,756,116,23,26
717,4094,60,0,11
718,5781,180,54,28
719,1746,61,53,38
720,5191,169,2,5
721,47,26,42,56
722,4635,44,26,10
723,4519,158,54,10
724,1305,186,43,57
725,1,107,4,13
726,2742,70,54,44
727,3301,14,10,58
728,697,70,15,21
729,340,214,17,53
730,526,213,35,45
731,267,78,21,3
732,2588,192,15,59
733,922,147,60,20
734,5138,105,3,53
735,3948,104,38,49
736,5758,71,50,59
737,4051,125,38,27
738,2682,66,58,32
739,2723,97,9,20
740,68,215,17,10
741,3283,67,48,3
742,2159,170,47,44
743,899,200,46,48
744,2113,28,47,33
745,4088,28,50,7
746,4572,212,50,6
747,3024,143,1,60
748,4090,172,50,55
749,4015,11,35,10
750,4493,98,54,20
751,2152,70,46,18
752,2450,72,47,8
753,2135,197,9,47
754,5155,5,33,34
755,2839,218,2,4
756,1015,59,28,42
757,3401,198,56,11
758,2065,159,,28
759,1172,66,4,26
760,5451,130,7,18
761,46,114,24,42
762,3598,168,0,2
763,638,68,14,27
764,3870,40,42,59
765,5330,202,29,25
766,859,175,3,20
767,3761,201,5,753
768,3543,4,5,44
769,3746,90,48,7
770,4399,2,0,57
771,3877,142,16,11
772,3013,93,29,27
773,5122,110,58,30
774,375,111,27,31
775,757,155,46,10
776,1449,142,48,14
777,962,67,13,0
778,4849,204,9,7
779,3707,46,47,23
780,4381,57,12,27
781,3800,72,,44
782,4292,174,36,6
783,369,89,37,37
784,2348,177,29,40
785,3204,152,47,54
786,4420,8,5,11
787,1354,88,48,25
788,499,137,13,26
789,120,144,34,2
790,4022,211,42,2
791,3305,167,,45
792,5356,102,45,15
793,1856,96,59,21
794,5102,28,20,7
795,3104,193,4,27
796,1243,147,25,56
797,2845,139,55,25
798,1580,99,54,3
799,2948,63,55,24
800,1541,37,51,3
801,1457,84,55,17
802,4503,6,24,39
803,5018,113,35,51
804,1674,211,57,41
805,4080,25,52,53
806,1640,163,56,18
807,459,14,40,0
808,2643,139,18,32
809,1974,219,45,48
810,4617,60,-7,48
811,508,58,44,51
812,5326,183,26,0
813,4991,179,54,60
814,313,99,17,36
815,5598,63,30,23
816,44,73,18,29
817,418,163,53,60
818,4543,211,15,3
819,121,33,31,41
820,194,41,54,29
821,3018,30,12,0
822,392,83,58,40
823,969,160,34,59
824,4022,85,19,30
825,4442,131,49,0
826,1475,125,19,1
827,4183,43,32,20
828,3641,42,22,20
829,108,95,44,8
830,2956,19,20,53
831,460,30,12,21
832,3835,21,5,51
833,4180,122,43,48
834,2831,4,46,23
835,5099,192,44,7
836,5203,69,5,883
837,759,211,18,6
838,5843,212,0,31
839,342,71,47,23
840,3505,149,38,58
841,1772,206,49,9
842,5736,160,9,50
843,4602,147,57,58
844,3671,58,32,29
845,1664,11,36,59
846,3029,46,54,13
847,3076,14,23,26
848,372,113,5,9
849,1009,53,30,13
850,2434,158,5,8
851,4385,209,4,36
852,3525,100,37,18
853,3529,77,13,27
854,5680,50,5,42
855,2582,178,38,50
856,3447,142,48,7
857,4449,150,20,6
858,3126,180,14,50
859,884,137,28,39
860,3924,106,49,14
861,5520,195,2,8
862,2304,40,51,52
863,1819,178,33,33
864,1961,27,42,36
865,1190,84,1,39
866,5399,40,31,1
867,199,200,19,15
868,4476,112,59,24
869,2484,120,2,51
870,1252,100,2,47
871,2577,123,46,32
872,3495,52,26,605
873,3978,50,33,3
874,4308,38,12,12
875,354,145,29,1
876,4758,139,10,18
877,413,162,43,29
878,4290,178,59,25
879,27,145,32,42
880,5376,213,57,26
881,3308,118,33,59
882,1425,130,41,41
883,3471,140,60,36
884,113,97,49,56
885,4131,175,58,33
886,1308,125,37,3
887,1339,95,10,34
888,3092,83,32,779
889,616,174,28,38
890,5172,74,6,42
891,3739,155,28,0
892,339,143,3,33
893,4578,186,0,39
894,2833,186,16,16
895,3736,142,36,2
896,2226,137,15,12
897,2608,139,24,58
898,5198,35,24,3
899,1774,18,42,32
900,3460,181,27,47
901,2439,15,20,59
902,4735,122,40,43
903,5246,7,33,31
904,71,216,44,13
905,1418,165,49,21
906,1976,113,6,8
907,4309,136,31,1
908,658,86,50,20
909,5216,26,15,40
910,1641,183,4,18
911,979,216,30,42
912,1127,70,30,38
913,5920,65,15,12
914,4070,140,10,28
915,320,91,41,55
916,3347,112,8,2
917,115,113,33,17
918,3285,65,57,0
919,2721,114,28,18
920,3164,36,7,38
921,3980,131,42,20
922,2810,162,8,20
923,5440,219,19,9
924,4606,202,27,25
925,4999,46,,38
926,3795,42,8,45
927,5046,70,2,27
928,811,81,49,16
929,4234,42,28,45
930,1912,143,26,42
931,1792,61,39,8
932,4395,171,48,38
933,1130,40,22,41
934,3467,167,32,47
935,4613,106,57,27
936,495,59,23,25
937,2202,165,35,3
938,2558,52,31,41
939,5784,79,53,49
940,3363,38,30,14
941,34,166,,2
942,633,39,52,27
943,2338,219,24,40
944,4797,205,27,4
945,298,146,58,54
946,385,153,6,27
947,5456,152,55,20
948,2548,185,,2
949,3888,133,55,17
950,1068,168,47,55
951,2443,195,41,44
952,35,166,20,11
953,1070,88,42,43
954,4149,118,43,59
955,463,128,49,12
956,3373,102,23,52
957,3276,146,,6
958,3666,16,40,34
959,3310,193,58,4
960,4053,24,13,42
961,8,164,9,511
962,3336,70,11,9
963,3445,202,16,15
964,4713,166,19,48
965,2773,36,58,27
966,2918,16,54,20
967,2331,128,56,31
968,2158,21,-9,26
969,3064,180,36,56
970,5875,215,57,35
971,4084,88,22,38
972,4596,127,59,20
973,1535,16,16,46
974,2821,83,10,50
975,1350,196,14,3
976,811,103,59,60
977,1893,6,58,42
978,1097,155,31,29
979,2416,165,49,18
980,5879,38,37,44
981,5564,117,33,27
982,4087,178,41,46
983,5795,14,18,54
984,3723,34,16,40
985,3223,185,17,58
986,1232,202,55,50
987,4178,55,42,49
988,4612,204,0,26
989,5400,20,1,2
990,3624,144,18,18
991,5027,131,10,37
992,541,98,40,16
993,1055,129,8,27
994,2857,155,,49
995,1475,73,33,37
996,2805,165,23,30
997,4653,23,23,49
998,4332,191,16,14
999,2874,97,22,7
1000,1827,74,13,58
1001,458,184,55,29
1002,4212,198,1,26
1003,1774,19,60,46
1004,2694,157,41,18
1005,3685,139,47,50
1006,2208,220,20,741
1007,1715,177,46,53
1008,4285,42,4,40
1009,585,47,25,19
1010,776,169,32,5
1011,2152,197,31,35
1012,1782,197,29,40
1013,425,125,3,23
1014,3637,7,39,23
1015,5911,6,40,25
1016,3153,172,13,11
1017,1469,66,45,42
1018,1657,34,27,21
1019,28,197,31,38
1020,2092,190,31,2
1021,5092,203,47,54
1022,3613,155,59,33
1023,5436,85,10,44
1024,1564,159,37,39
1025,1599,100,36,51
1026,4254,77,23,17
1027,5562,207,37,34
1028,4153,93,28,45
1029,1259,135,10,25
1030,4954,5,6,26
1031,2883,27,20,38
1032,2570,43,30,59
1033,4452,213,47,31
1034,2959,165,21,47
1035,1678,19,41,28
1036,1866,19,50,42
1037,2448,210,31,21
1038,521,158,53,27
1039,3808,98,,40
1040,923,206,1,522
1041,1406,128,33,27
1042,5004,198,36,22
1043,4275,172,58,48
1044,3802,15,49,0
1045,5215,33,60,20
1046,5340,14,55,41
1047,1584,25,-4,44
1048,4063,214,57,24
1049,1706,44,46,35
1050,4715,212,43,10
1051,4080,74,43,53
1052,1535,46,25,58
1053,5006,122,20,12
1054,2851,42,42,16
1055,1691,138,31,8
1056,216,114,20,28
1057,4851,25,19,55
1058,2057,168,38,17
1059,943,152,45,36
1060,2214,81,43,36
1061,5339,99,11,40
1062,1659,142,17,0
1063,5871,213,9,49
1064,5447,20,54,22
1065,1873,171,40,26
1066,46,166,28,3
1067,900,139,9,22
1068,972,203,1,60
1069,5350,137,27,28
1070,156,123,22,37
1071,2276,213,47,23
1072,633,159,26,51
1073,3762,176,-2,50
1074,5898,86,3,45
1075,2230,1,-3,5
1076,3213,168,23,21
1077,5689,78,29,23
1078,5263,217,49,53
1079,2972,191,29,56
1080,1141,151,41,30
1081,2465,22,48,3
1082,3549,134,20,885
1083,5952,39,,15
1084,2433,110,48,44
1085,2545,180,31,714
1086,801,215,24,60
1087,1805,218,53,57
1088,104,83,13,49
1089,2428,43,-8,38
1090,5811,136,4,40
1091,3424,39,37,12
1092,4715,206,41,24
1093,461,123,7,54
1094,3538,102,7,25
1095,1805,111,54,55
1096,2717,148,3,17
1097,3770,169,53,36
1098,5580,121,28,38
1099,1661,27,38,36
1100,3379,114,2,36
1101,3173,173,3,35
1102,5046,108,52,4
1103,1226,155,55,59
1104,151,132,42,48
1105,4236,80,45,30
1106,4614,139,32,58
1107,2097,200,13,29
1108,3304,136,47,25
1109,3530,46,28,16
1110,1536,179,14,0
1111,293,146,45,28
1112,2658,66,31,52
1113,2908,5,7,51
1114,1771,99,28,54
1115,5390,23,4,53
1116,3655,196,46,33
1117,2270,5,34,10
1118,1496,76,48,53
1119,4990,165,53,53
1120,976,165,15,28
1121,2672,15,36,17
1122,1374,170,51,50
1123,867,96,58,36
1124,1932,121,34,5
1125,968,168,53,39
1126,871,132,46,4
1127,3123,207,37,641
1128,3606,153,3,19
1129,2501,73,,16
1130,2844,175,51,34
1131,805,155,48,14
1132,1276,127,35,36
1133,5762,161,4,39
1134,1316,112,50,53
1135,446,6,39,32
1136,3490,174,3,40
1137,4282,19,57,53
1138,662,110,57,40
1139,5919,100,6,6
1140,3823,176,9,53
1141,1337,1,26,56
1142,411,143,1,21
1143,2824,142,9,17
1144,96,66,39,41
1145,5831,176,37,44
1146,3967,46,18,530
1147,1617,22,23,4
1148,4260,106,5,28
1149,4575,156,27,11
1150,5622,80,39,19
1151,3836,108,16,41
1152,4998,70,37,53
1153,4146,55,11,23
1154,4691,10,5,0
1155,3306,60,13,16
1156,1097,38,28,58
1157,5713,195,30,3
1158,4729,79,54,43
1159,4147,45,15,39
1160,2953,190,23,16
1161,2280,66,34,50
1162,1975,134,40,0
1163,2567,166,54,21
1164,4932,71,49,6
1165,3037,27,13,39
1166,2970,95,51,15
1167,1678,121,23,0
1168,1768,157,31,15
1169,2619,43,52,20
1170,5877,57,9,17
1171,5724,38,6,47
1172,2863,205,47,30
1173,3543,84,60,27
1174,54,126,12,56
1175,156,4,26,45
1176,5659,84,49,20
1177,363,79,50,33
1178,2398,11,30,54
1179,1305,133,24,11
1180,2846,134,28,47
1181,1551,188,47,719
1182,1289,162,40,23
1183,3794,186,-1,24
1184,3009,91,34,8
1185,1114,108,9,48
1186,5790,171,5,26
1187,3058,218,1,4
1188,1622,218,8,40
1189,201,199,13,53
1190,782,213,57,55
1191,3636,123,59,21
1192,5718,140,32,44
1193,1733,189,31,5
1194,3602,152,37,34
1195,4301,8,55,51
1196,2727,64,32,11
1197,4779,141,47,4
1198,5771,39,41,50
1199,5399,157,24,51
1200,3711,177,47,23
1201,5286,125,50,48
1202,2361,86,7,10
1203,3142,40,60,10
1204,4438,169,13,50
1205,3342,213,16,43
1206,1078,151,36,43
1207,1000,54,33,3
1208,4580,174,56,60
1209,5972,111,36,37
1210,1659,155,38,16
1211,303,99,42,54
1212,4250,185,9,39
1213,3123,38,37,33
1214,3095,4,19,44
1215,4153,96,44,31
1216,867,193,3,15
1217,1562,163,0,23
1218,2729,167,41,48
1219,1444,81,40,2
1220,3141,158,19,4
1221,2615,44,35,33
1222,4772,173,-9,52
1223,4215,195,48,33
1224,255,135,4,5
1225,30,118,6,18
1226,1429,53,45,899
1227,3392,131,1,32
1228,4575,170,32,18
1229,2229,54,51,53
1230,926,216,12,11
1231,5849,182,31,31
1232,1741,144,50,60
1233,596,184,37,4
1234,4132,15,51,19
1235,2434,179,15,2
1236,3842,146,31,21
1237,3079,132,45,50
1238,961,143,7,35
1239,270,17,51,33
1240,3871,72,29,10
1241,5845,178,57,14
1242,1307,99,22,39
1243,2533,100,,13
1244,5621,55,6,8
1245,4324,30,28,50
1246,2527,46,45,15
1247,4047,220,20,33
1248,753,21,34,20
1249,1367,7,26,633
1250,954,98,22,8
1251,1372,102,5,35
1252,844,3,36,22
1253,349,5,57,52
1254,4932,169,53,11
1255,528,58,25,55
1256,1279,50,-4,41
1257,5428,115,2,789
1258,5347,144,56,54
1259,4889,80,0,4
1260,2272,100,39,24
1261,5772,61,52,738
1262,4058,37,57,31
1263,5184,191,,23
1264,5841,147,35,0
